,Date,Regular nums,Supplementary nums
276,09.10.2015,"[26, 23, 14, 31, 13]","[3, 9]"
277,02.10.2015,"[39, 7, 9, 28, 47]","[8, 2]"
278,25.09.2015,"[5, 13, 3, 16, 30]","[6, 3]"
279,18.09.2015,"[3, 48, 41, 13, 7]","[1, 7]"
280,11.09.2015,"[31, 30, 7, 22, 27]","[7, 5]"
281,04.09.2015,"[12, 23, 46, 41, 37]","[3, 7]"
282,28.08.2015,"[8, 5, 34, 46, 33]","[8, 3]"
283,21.08.2015,"[13, 20, 39, 40, 42]","[3, 9]"
284,14.08.2015,"[28, 41, 1, 7, 27]","[2, 6]"
285,07.08.2015,"[15, 49, 1, 22, 9]","[4, 7]"
286,31.07.2015,"[24, 11, 49, 19, 46]","[1, 5]"
287,24.07.2015,"[6, 30, 12, 15, 20]","[3, 6]"
288,17.07.2015,"[37, 21, 30, 6, 44]","[1, 3]"
289,10.07.2015,"[35, 47, 12, 36, 39]","[3, 6]"
290,03.07.2015,"[40, 45, 31, 1, 41]","[5, 9]"
291,26.06.2015,"[27, 14, 28, 35, 47]","[1, 8]"
292,19.06.2015,"[21, 12, 14, 39, 20]","[10, 5]"
293,12.06.2015,"[27, 23, 17, 30, 39]","[6, 8]"
294,05.06.2015,"[40, 19, 41, 50, 38]","[5, 1]"
295,29.05.2015,"[16, 38, 28, 6, 1]","[1, 6]"
296,22.05.2015,"[24, 23, 50, 39, 8]","[5, 1]"
297,15.05.2015,"[38, 12, 14, 46, 18]","[9, 10]"
298,08.05.2015,"[31, 19, 46, 40, 32]","[9, 8]"
299,01.05.2015,"[25, 50, 30, 8, 24]","[4, 6]"
300,24.04.2015,"[33, 27, 17, 46, 4]","[3, 9]"
301,17.04.2015,"[20, 13, 5, 33, 6]","[8, 3]"
302,10.04.2015,"[18, 1, 26, 40, 47]","[3, 4]"
303,03.04.2015,"[34, 48, 37, 43, 5]","[4, 2]"
304,27.03.2015,"[31, 33, 50, 3, 26]","[3, 9]"
305,20.03.2015,"[9, 13, 38, 11, 35]","[7, 5]"
306,13.03.2015,"[39, 10, 25, 1, 44]","[1, 2]"
307,06.03.2015,"[16, 32, 9, 17, 20]","[2, 3]"
308,27.02.2015,"[30, 9, 49, 28, 43]","[10, 8]"
309,20.02.2015,"[18, 29, 16, 44, 1]","[7, 2]"
310,13.02.2015,"[14, 48, 46, 3, 7]","[6, 9]"
311,06.02.2015,"[22, 19, 37, 3, 39]","[10, 5]"
312,30.01.2015,"[4, 3, 11, 8, 41]","[2, 8]"
313,23.01.2015,"[30, 2, 32, 14, 13]","[3, 1]"
314,16.01.2015,"[4, 48, 1, 14, 32]","[5, 6]"
315,09.01.2015,"[41, 27, 19, 20, 13]","[9, 5]"
316,02.01.2015,"[48, 38, 29, 42, 16]","[5, 6]"
317,26.12.2014,"[39, 2, 30, 43, 21]","[5, 7]"
318,19.12.2014,"[10, 25, 49, 11, 32]","[5, 9]"
319,12.12.2014,"[15, 1, 8, 37, 19]","[7, 9]"
320,05.12.2014,"[11, 32, 25, 47, 42]","[4, 9]"
321,28.11.2014,"[6, 35, 18, 16, 29]","[9, 6]"
322,21.11.2014,"[43, 4, 35, 41, 18]","[4, 5]"
323,14.11.2014,"[49, 25, 41, 45, 22]","[5, 2]"
324,07.11.2014,"[5, 35, 33, 25, 13]","[8, 4]"
325,31.10.2014,"[3, 27, 7, 43, 46]","[3, 8]"
326,24.10.2014,"[37, 26, 22, 15, 3]","[2, 4]"
327,17.10.2014,"[24, 27, 35, 14, 39]","[7, 8]"
328,10.10.2014,"[17, 22, 20, 11, 29]","[6, 4]"
329,03.10.2014,"[44, 34, 8, 15, 49]","[8, 4]"
330,26.09.2014,"[26, 44, 8, 32, 50]","[4, 7]"
331,19.09.2014,"[38, 13, 20, 18, 39]","[1, 8]"
332,12.09.2014,"[25, 9, 29, 2, 17]","[3, 5]"
333,05.09.2014,"[31, 40, 26, 39, 33]","[5, 6]"
334,29.08.2014,"[12, 1, 8, 37, 9]","[6, 2]"
335,22.08.2014,"[42, 40, 19, 47, 20]","[8, 2]"
336,15.08.2014,"[47, 17, 41, 43, 38]","[6, 4]"
337,08.08.2014,"[21, 40, 15, 34, 19]","[3, 4]"
338,01.08.2014,"[5, 18, 47, 38, 33]","[6, 3]"
339,25.07.2014,"[43, 3, 47, 10, 36]","[5, 2]"
340,18.07.2014,"[6, 45, 11, 15, 18]","[5, 8]"
341,11.07.2014,"[35, 16, 45, 10, 3]","[4, 6]"
342,04.07.2014,"[11, 10, 13, 3, 42]","[8, 1]"
343,27.06.2014,"[35, 42, 33, 44, 11]","[4, 6]"
344,20.06.2014,"[33, 10, 41, 23, 6]","[6, 8]"
345,13.06.2014,"[18, 1, 8, 39, 15]","[6, 1]"
346,06.06.2014,"[19, 37, 38, 6, 9]","[8, 4]"
347,30.05.2014,"[25, 17, 26, 7, 35]","[7, 4]"
348,23.05.2014,"[6, 21, 33, 47, 37]","[7, 8]"
349,16.05.2014,"[36, 43, 28, 42, 9]","[8, 2]"
350,09.05.2014,"[43, 14, 1, 22, 11]","[4, 3]"
351,02.05.2014,"[34, 33, 31, 32, 9]","[8, 6]"
352,25.04.2014,"[10, 39, 4, 48, 7]","[3, 4]"
353,18.04.2014,"[44, 40, 32, 49, 12]","[2, 3]"
354,11.04.2014,"[1, 44, 14, 7, 22]","[1, 2]"
355,04.04.2014,"[33, 10, 30, 28, 16]","[4, 6]"
356,28.03.2014,"[32, 10, 38, 45, 35]","[5, 4]"
357,21.03.2014,"[42, 8, 35, 38, 18]","[4, 6]"
358,14.03.2014,"[13, 9, 7, 30, 6]","[4, 7]"
359,07.03.2014,"[15, 14, 20, 39, 7]","[1, 8]"
360,28.02.2014,"[2, 21, 45, 22, 17]","[5, 1]"
361,21.02.2014,"[2, 21, 4, 41, 30]","[7, 8]"
362,14.02.2014,"[28, 22, 21, 45, 19]","[6, 7]"
